width,height,weight,stress,deflection
0.01,0.01,0.785,599999999.9999999,0.19999999999999998
0.01,0.013877551020408163,1.0893877551020408,311548442.90657437,0.07483271422755954
0.01,0.017755102040816328,1.3937755102040816,190328973.4443123,0.03573225938226553
0.01,0.021632653061224492,1.6981632653061227,128212887.14845137,0.019756073805893448
0.01,0.025510204081632654,2.002551020408163,92198399.99999999,0.012047257599999996
0.01,0.029387755102040815,2.3069387755102038,69473379.62962963,0.007880082411694102
0.01,0.03326530612244898,2.6113265306122453,54221084.72279723,0.005433196628664753
0.01,0.037142857142857144,2.915714285714286,43491124.260355026,0.0039030496131087842
0.01,0.041020408163265305,3.2201020408163266,35657533.22937551,0.0028975441596009953
0.01,0.04489795918367347,3.5244897959183676,29764462.809917353,0.0022097858752817426
0.01,0.048775510204081635,3.8288775510204083,25220146.706115086,0.001723552564295173
0.01,0.052653061224489796,4.133265306122449,21642329.1869479,0.0013701216151943763
0.01,0.056530612244897964,4.43765306122449,18775169.753287543,0.0011070798049471595
0.01,0.060408163265306125,4.742040816326531,16442202.337472603,0.000907283687540718
0.01,0.06428571428571428,5.046428571428571,14518518.51851852,0.00075281207133059
0.01,0.06816326530612245,5.350816326530612,12913693.57094195,0.0006315079690380794
0.01,0.07204081632653062,5.655204081632653,11560962.69129838,0.0005349265079071016
0.01,0.07591836734693877,5.959591836734694,10410163.024627125,0.0004570770503644527
0.01,0.07979591836734694,6.263979591836734,9423015.286399227,0.0003936297945725167
0.01,0.08367346938775509,6.568367346938775,8569898.869720405,0.0003414024752978048
0.01,0.08755102040816326,6.8727551020408155,7827603.631799437,0.0002980206510941511
0.01,0.09142857142857143,7.177142857142857,7177734.374999999,0.000261688232421875
0.01,0.09530612244897958,7.481530612244898,6605560.1153657455,0.00023102958290715316
0.01,0.09918367346938775,7.785918367346938,6099171.874206168,0.00020497902732242952
0.01,0.10306122448979592,8.090306122448979,5648857.95510244,0.00018270233650166307
0.01,0.10693877551020407,8.39469387755102,5246634.811491173,0.00016354014361518287
0.01,0.11081632653061224,8.69908163265306,4885890.744075781,0.0001469666337997012
0.01,0.11469387755102041,9.003469387755102,4561112.447917326,0.00013255902132144068
0.01,0.11857142857142856,9.307857142857141,4267673.102046741,0.00011997474584067146
0.01,0.12244897959183673,9.612244897959183,4001666.6666666665,0.00010893425925925927
0.01,0.1263265306122449,9.916632653061226,3759777.2215857035,9.920790730086131e-05
0.01,0.13020408163265307,10.221020408163266,3539175.1260306006,9.060584178448246e-05
0.01,0.13408163265306122,10.525408163265306,3337433.887255617,8.297019811036289e-05
0.01,0.1379591836734694,10.82979591836735,3152463.149049402,7.616898141194313e-05
0.01,0.14183673469387756,11.134183673469389,2982454.3243103353,7.009125270561459e-05
0.01,0.1457142857142857,11.438571428571429,2825836.2168396767,6.464331214992724e-05
0.01,0.1495918367346939,11.74295918367347,2681238.5885435953,5.974565295072131e-05
0.01,0.15346938775510205,12.047346938775512,2547462.086917157,5.533051518570065e-05
0.01,0.1573469387755102,12.351734693877551,2423453.2947761007,5.133990983312968e-05
0.01,0.16122448979591839,12.656122448979593,2308283.928857554,4.772401371899585e-05
0.01,0.16510204081632654,12.960510204081633,2201133.417165662,4.443985885501337e-05
0.01,0.1689795918367347,13.264897959183674,2101274.2421059995,4.145025678872544e-05
0.01,0.17285714285714288,13.569285714285716,2008059.5587733071,3.8722911601689114e-05
0.01,0.17673469387755103,13.873673469387755,1920912.6935446877,3.622968513613922e-05
0.01,0.18061224489795918,14.178061224489795,1839318.2035813464,3.394598567814915e-05
0.01,0.18448979591836737,14.482448979591839,1762814.2376067033,3.185025724289397e-05
0.01,0.18836734693877552,14.786836734693878,1690985.9859213615,2.9923551213487436e-05
0.01,0.19224489795918367,15.091224489795918,1623460.0457084125,2.8149165689919397e-05
0.01,0.19612244897959186,15.395612244897961,1559899.5583208175,2.651234074149152e-05
0.01,0.2,15.700000000000001,1499999.9999999995,2.4999999999999994e-05
0.01183673469387755,0.01,0.9291836734693878,506896551.72413784,0.16896551724137926
0.01183673469387755,0.013877551020408163,1.2894793835901708,263204719.00727838,0.0632207413301796
0.01183673469387755,0.017755102040816328,1.6497750937109539,160795167.2201949,0.030187598443638122
